combined_id,n_publications,n_data_generated,n_data_shared,n_data_linked,data_locations,n_code_generated,n_code_shared,code_locations,nserc_top_award_all,nserc_top_year_all,nserc_top_z_all,n_awards_nserc
timothy_shutt_universityofcalgary,1,1,1,0,Supplementary Information,0,0,,55000,2024,0.276353647198101,2
tony_harris_universityoftoronto,1,1,0,0,,0,0,,67000,2011,2.668886929998363,3
jolanta_gutkowska_universitedemontreal,1,1,0,0,,0,0,,26000,2012,-0.8060332630642013,1
rachel_wevrick_universityofalberta,1,1,1,0,Supplementary Information,0,0,,35000,2014,-0.6080815831900982,3
william_davidson_simonfraseruniversity,2,2,2,1,"Online,Supplementary Information; Supplementary Information",2,1,Supplementary Information,69000,2013,2.6477297350596283,1
gregory_smith_universityofbritishcolumbia,1,1,0,0,,0,0,,25000,2015,-0.7510253378657221,2
roderick_melnik_wilfridlaurieruniversity,1,0,1,1,Online,0,0,,27000,2020,0.8412661425898699,3
jaswinder_singh_mcgilluniversity,2,2,1,0,Supplementary Information,1,0,,33000,2020,-0.42383942487807374,3
martin_ralph_universityoftoronto,1,1,1,0,Supplementary Information,1,1,Supplementary Information,31000,2011,-0.36012939806431354,2
volker_blank_mcgilluniversity,2,2,2,0,Supplementary Information,2,1,Supplementary Information,26000,2017,-0.6951764439301056,2
stephanie_protze_universityoftoronto,1,1,1,0,Supplementary Information,0,0,,45000,2023,-0.1398600174774703,1
edmond_young_universityoftoronto,1,1,0,0,,1,0,,39000,2019,0.10782521549630109,1
celia_greenwood_mcgilluniversity,5,5,5,3,"Online,Supplementary Information; Supplementary Information",5,4,Online; Supplementary Information,30000,2019,0.8870062288280761,3
alexandre_douplik_torontometropolitanuniversity,1,1,0,0,,1,0,,40000,2024,-0.7516908159620275,3
salah_mestikawy_mcgilluniversity,1,1,1,0,Supplementary Information,0,0,,47000,2024,-0.4235326852305431,3
patrick_martone_universityofbritishcolumbia,1,1,1,1,"Online,Supplementary Information",1,1,Online,40000,2019,-0.02429053665852363,3
ryan_giuliano_universityofmanitoba,1,1,1,1,Online,0,0,,28000,2021,-0.7218155692086793,1
reza_salavati_mcgilluniversity,1,1,0,0,,0,0,,48000,2011,0.8083625392468072,3
hubert_morin_universiteduquebecachicoutimi,2,2,2,1,Online; Supplementary Information,1,0,,33000,2018,0.16738823978722536,2
leah_edelsteinkeshet_universityofbritishcolumbia,1,1,1,0,Supplementary Information,0,0,,80600,2020,4.409808468245856,2
darren_warburton_universityofbritishcolumbia,1,1,0,0,,0,0,,40000,2020,0.06374047970035289,3
julian_christians_simonfraseruniversity,3,3,3,2,"Online,Supplementary Information; Supplementary Information",3,0,,40000,2021,0.1514530665581601,3
joon_lee_universityofwaterloo,1,1,1,1,Online,1,1,Online,29000,2021,-0.23406067148737666,2
etienne_boucher_universiteduquebecamontreal,1,1,1,1,Online,1,1,Online,51000,2021,1.5097510745519716,2
zhaolei_zhang_universityoftoronto,1,1,1,1,Online,1,1,Online,26000,2017,-0.1320956708539451,2
jeanninemarie_stjacques_concordiauniversity,1,1,1,1,"Online,Supplementary Information",1,0,,30000,2023,-0.8496010918858522,2
giuseppe_melacini_mcmasteruniversity,1,1,1,1,"Online,Supplementary Information",1,1,Online,82000,2019,3.403925161978394,3
joshua_giles_universityofvictoria,1,1,1,1,Online,0,0,,27000,2018,-0.7181998842950371,1
