combined_id,n_publications,n_data_generated,n_data_shared,n_data_linked,data_locations,n_code_generated,n_code_shared,code_locations,nserc_top_award_all,nserc_top_year_all,nserc_top_z_all,n_awards_nserc
arash_arami_universityofwaterloo,1,1,1,1,Online,0,0,,46000,2024,-0.22489922083202402,2
carolyn_sparrey_simonfraseruniversity,1,1,1,0,Supplementary Information,0,0,,46000,2018,0.5003161051600842,2
david_ting_universityofwindsor,1,1,1,1,Online,1,0,,38000,2023,-0.043116931137614535,3
shaun_watmough_trentuniversity,1,1,1,1,Online,0,0,,60000,2016,2.113338927012193,3
trevor_bell_memorialuniversityofnewfoundland,1,1,1,1,"Online,Supplementary Information",1,0,,33000,2013,-0.2917627469757828,1
arthur_kuo_universityofcalgary,3,3,2,2,"Online; Online,Supplementary Information",2,2,Online,29000,2018,-0.714127476920503,1
john_blake_dalhousieuniversity,1,1,1,1,"Online,Supplementary Information",0,0,,26000,2022,-0.6804763273010584,2
jeremie_lefebvre_universityofottawa,1,1,0,0,,1,1,Online,31000,2017,-0.25552219462090653,1
christopher_maxwell_universityofbritishcolumbia,1,1,0,0,,0,0,,36000,2019,-0.4112792626611085,2
uladzimir_karniychuk_universityofsaskatchewan,2,2,2,1,"Online,Supplementary Information; Supplementary Information",2,0,,37000,2018,-0.39311115171831373,1
kaushik_desai_universityofsaskatchewan,1,1,1,1,"Online,Supplementary Information",0,0,,28000,2016,-0.6137246379403244,1
david_behm_memorialuniversityofnewfoundland,3,3,3,2,Online; Supplementary Information,0,0,,51000,2023,0.3732206926642348,3
che_colpitts_queensuniversity,1,1,1,0,Supplementary Information,0,0,,37000,2020,-0.3812906248287926,1
leah_bendell_simonfraseruniversity,3,3,2,0,Supplementary Information,0,0,,28000,2016,-0.7326642223551664,3
alex_scott_universityofbritishcolumbia,8,8,7,1,Online; Supplementary Information,2,0,,28000,2011,-0.070986889140031,1
maria_stepanova_universityofalberta,2,2,2,0,Supplementary Information,2,0,,28000,2018,-0.5153545209215399,2
frances_bonier_queensuniversity,1,1,1,0,Supplementary Information,0,1,Supplementary Information,40000,2019,-0.07579467363858858,2
